,question,id,answer,count,cluster,sentiment,corrected
0,"Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?",19749.0,создание раб.групп для контрол,1.0,создание рабочих групп для контроля,neutrals,создание рабочих групп для контроля
1,"Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?",19749.0,сократить дублирование,1.0,сократить дублирование,positives,
2,"Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?",19749.0,травмы и работать над ней,1.0,травмы и работать над ней,negatives,
3,"Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?",19749.0,убедить работника что его жиз,1.0,убедить работника что его жизнь,neutrals,убедить работника что его жизнь
4,"Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?",19749.0,улучшать качество работы,1.0,улучшать качество работы,positives,
5,"Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?",19749.0,уменьшение бюрократии,1.0,уменьшение бюрократии,positives,
6,"Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?",19749.0,упростить бюрократич. нагрузку,1.0,уменьшение бюрократии,positives,упростить бюрократическую нагрузку
7,"Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?",19749.0,участие в жизни работника,1.0,участие в жизни работника,neutrals,
8,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,19750.0,топ менеджеры,1.0,топ менеджеры,neutrals,
9,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,19750.0,требования безопасности для р,1.0,требования безопасности для р,neutrals,
10,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,19750.0,увеличить численность от до,1.0,увеличить численность от до,neutrals,
11,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,19750.0,узконаправленная деятельность,1.0,узконаправленная деятельность,neutrals,
12,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,19750.0,умение выслушать,1.0,умение выслушать,positives,
13,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,19750.0,упростить закупки,1.0,упростить закупки,positives,
14,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,19750.0,участие лидеров в совещ. рук.,1.0,участие лидеров в совещаниях руководителей,neutrals,участие лидеров в совещаниях руководителей
15,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,19750.0,физическая,1.0,физическая,neutrals,
16,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,19750.0,эта поддержка уже есть,1.0,эта поддержка уже есть,positives,
17,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,19750.0,методическая,1.0,методическая,neutrals,
18,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,19750.0,методология,1.0,методическая,neutrals,
19,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,19750.0,тренинги,1.0,тренинги,neutrals,
20,Какие цели вы поставили себе на Школу тренеров?,20139.0,прокачать тренерские знания,1.0,улучшить тренерские знания,positives,улучшить тренерские знания
21,Какие цели вы поставили себе на Школу тренеров?,20139.0,прокачать тренерские компетенц,1.0,улучшить тренерские знания,positives,улучшить тренерские компетенции
22,Какие цели вы поставили себе на Школу тренеров?,20139.0,прокачать тренерские навыки,1.0,улучшить тренерские знания,positives,улучшить тренерские навыки
23,Какие цели вы поставили себе на Школу тренеров?,20139.0,совершенствоваться,1.0,совершенствоваться,positives,
24,Какие цели вы поставили себе на Школу тренеров?,20139.0,повышение производительности,1.0,повышение производительности,positives,
25,Какие цели вы поставили себе на Школу тренеров?,20139.0,получить ответы на вопросы,1.0,решение вопросов,neutrals,
26,Какие цели вы поставили себе на Школу тренеров?,20139.0,узнать ответы на интерес. вопр,1.0,решение вопросов,neutrals,узнать ответы на интересующие вопросы
27,Какие цели вы поставили себе на Школу тренеров?,20139.0,решение вопросов,1.0,решение вопросов,neutrals,
28,Какие цели вы поставили себе на Школу тренеров?,20139.0,понять дальнейшие действия,1.0,понять дальнейшие действия,neutrals,
29,Какие цели вы поставили себе на Школу тренеров?,20139.0,понять управление персоналом,1.0,управление проектами,neutrals,
30,Какие цели вы поставили себе на Школу тренеров?,20139.0,посетить мастер-классы по инте,1.0,прохождение мастер классов,neutrals,посетить мастер классы по инте
31,Какие цели вы поставили себе на Школу тренеров?,20139.0,прохождение мастер-классов,1.0,прохождение мастер классов,neutrals,прохождение мастер классов
32,Какие цели вы поставили себе на Школу тренеров?,20139.0,применять,1.0,применять,neutrals,
33,Какие цели вы поставили себе на Школу тренеров?,20139.0,применять знания на своём пр-е,1.0,применять знания на своём проекте,neutrals,применять знания на своём проекте
34,Какие цели вы поставили себе на Школу тренеров?,20139.0,примеры реализованных проектов,1.0,примеры реализованных проектов,neutrals,
35,Какие цели вы поставили себе на Школу тренеров?,20139.0,проверить свои знания,1.0,проверить свои знания,neutrals,
36,Какие цели вы поставили себе на Школу тренеров?,20139.0,проектная деятельность,1.0,проектная деятельность,neutrals,
