,question,id,answer,count,cluster,sentiment
0,Что вы сможете использовать в своей работе?,10106.0,"формулировать проблему, 5 поче",1.0,,
1,Что вы сможете использовать в своей работе?,10106.0,поиск потерь,1.0,,
2,Что вы сможете использовать в своей работе?,10106.0,правило 5 «почему» :),1.0,,
3,Что вы сможете использовать в своей работе?,10106.0,умение работать в команде,1.0,,
4,Что вы сможете использовать в своей работе?,10106.0,картирование и анализ,1.0,,
5,Что вы сможете использовать в своей работе?,10106.0,четкое формулирование проблемы,1.0,,
6,Что вы сможете использовать в своей работе?,10106.0,многон,1.0,,
7,Что вы сможете использовать в своей работе?,10106.0,методы выявления проблем,1.0,,
8,Что вы сможете использовать в своей работе?,10106.0,методы решения проблем,1.0,,
9,Что вы сможете использовать в своей работе?,10106.0,картирование,1.0,,
10,Что вы сможете использовать в своей работе?,10106.0,постановку проблемы и поиск р,1.0,,
11,Что вы сможете использовать в своей работе?,10106.0,поиск решения,1.0,,
12,Что вы сможете использовать в своей работе?,10106.0,способ «5 почему»,1.0,,
13,Что вы сможете использовать в своей работе?,10106.0,инструмент картирования,1.0,,
14,Что вы сможете использовать в своей работе?,10106.0,все,1.0,,
15,Что вы сможете использовать в своей работе?,10106.0,картирование,1.0,,
16,Что вы сможете использовать в своей работе?,10106.0,5с,1.0,,
17,Что вы сможете использовать в своей работе?,10106.0,картирование,1.0,,
18,Что вы сможете использовать в своей работе?,10106.0,находить проблему,1.0,,
19,Что вы сможете использовать в своей работе?,10106.0,да,1.0,,
20,"Что для вас ""культура доверия"" в организации?",10119.0,не боишься ошибиться,1.0,,
21,"Что для вас ""культура доверия"" в организации?",10119.0,"говорят прямо, как есть",1.0,,
22,"Что для вас ""культура доверия"" в организации?",10119.0,можно показать слабость,1.0,,
23,"Что для вас ""культура доверия"" в организации?",10119.0,критика звучит,1.0,,
24,"Что для вас ""культура доверия"" в организации?",10119.0,люди не боятся спорить,1.0,,
25,"Что для вас ""культура доверия"" в организации?",10119.0,можно поговорить с любым,1.0,,
26,"Что для вас ""культура доверия"" в организации?",10119.0,не сомневаюсь в намерениях,1.0,,
27,"Что для вас ""культура доверия"" в организации?",10119.0,презумпция невиновности,1.0,,
28,"Что для вас ""культура доверия"" в организации?",10119.0,единая команда,1.0,,
29,"Что для вас ""культура доверия"" в организации?",10119.0,уважение,1.0,,
30,"Что для вас ""культура доверия"" в организации?",10119.0,можно не опасаться разгласки,1.0,,
31,"Что для вас ""культура доверия"" в организации?",10119.0,прозрачность в коммуникации,1.0,,
32,"Что для вас ""культура доверия"" в организации?",10119.0,возможность комфортно работать,1.0,,
33,"Что для вас ""культура доверия"" в организации?",10119.0,уверенность в коллегах,1.0,,
34,"Что для вас ""культура доверия"" в организации?",10119.0,возможность признать ошибку,1.0,,
35,"Что для вас ""культура доверия"" в организации?",10119.0,открытый обмен опытом,1.0,,
36,"Что для вас ""культура доверия"" в организации?",10119.0,открытая вертикаль общения,1.0,,
37,"Что для вас ""культура доверия"" в организации?",10119.0,возможность открыто и доверите,1.0,,
38,"Что для вас ""культура доверия"" в организации?",10119.0,возможность сказать об ошибке,1.0,,
39,"Что для вас ""культура доверия"" в организации?",10119.0,предупреждение о кирпиче,1.0,,
40,"Что для вас ""культура доверия"" в организации?",10119.0,честная и полная инфо сверху,1.0,,
41,"Что для вас ""культура доверия"" в организации?",10119.0,благоприятная среда,1.0,,
42,"Что для вас ""культура доверия"" в организации?",10119.0,объединяющая взаимосвязь,1.0,,
43,"Что для вас ""культура доверия"" в организации?",10119.0,искренняя помощь,1.0,,
44,"Что для вас ""культура доверия"" в организации?",10119.0,открытость общении,1.0,,
45,"Что для вас ""культура доверия"" в организации?",10119.0,информирование своевременное,1.0,,
46,"Что для вас ""культура доверия"" в организации?",10119.0,открытость,1.0,,
47,"Что для вас ""культура доверия"" в организации?",10119.0,поддержка,1.0,,
48,"Что для вас ""культура доверия"" в организации?",10119.0,легкое общение,1.0,,
49,"Что для вас ""культура доверия"" в организации?",10119.0,выполнение обещаний в срок,1.0,,
50,"Что для вас ""культура доверия"" в организации?",10119.0,свобода,1.0,,
51,"Что для вас ""культура доверия"" в организации?",10119.0,возможность высказаться,1.0,,
52,"Что для вас ""культура доверия"" в организации?",10119.0,"знать, что тебя не осудят",1.0,,
53,"Что для вас ""культура доверия"" в организации?",10119.0,честность и прозрачность,1.0,,
54,"Что для вас ""культура доверия"" в организации?",10119.0,отсутствие вранья в отношениях,1.0,,
55,"Что для вас ""культура доверия"" в организации?",10119.0,возможность открыто общаться,1.0,,
56,"Что для вас ""культура доверия"" в организации?",10119.0,честность,1.0,,
57,"Что для вас ""культура доверия"" в организации?",10119.0,открытость,1.0,,
58,"Что для вас ""культура доверия"" в организации?",10119.0,безопасность,1.0,,
59,"Что для вас ""культура доверия"" в организации?",10119.0,открытая обратная связь,1.0,,
60,"Что для вас ""культура доверия"" в организации?",10119.0,честность с руководством,1.0,,
61,"Что для вас ""культура доверия"" в организации?",10119.0,делиться переживаниями,1.0,,
62,"Что для вас ""культура доверия"" в организации?",10119.0,когда я могу открыто говорить,1.0,,
63,"Что для вас ""культура доверия"" в организации?",10119.0,можно обратиться,1.0,,
